"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Finland (FI)","25.07.2022 00:00 - 25.07.2022 01:00 (CET/CEST)","639","n/e","n/e","202","27","0","n/e","89","n/e","n/e","n/e","1129","n/e","n/e","2691","39","3","n/e","22","n/e","280"
"Finland (FI)","25.07.2022 01:00 - 25.07.2022 02:00 (CET/CEST)","642","n/e","n/e","191","27","0","n/e","80","n/e","n/e","n/e","779","n/e","n/e","2692","39","3","n/e","22","n/e","275"
"Finland (FI)","25.07.2022 02:00 - 25.07.2022 03:00 (CET/CEST)","642","n/e","n/e","198","27","0","n/e","64","n/e","n/e","n/e","748","n/e","n/e","2691","40","3","n/e","22","n/e","299"
"Finland (FI)","25.07.2022 03:00 - 25.07.2022 04:00 (CET/CEST)","632","n/e","n/e","213","27","0","n/e","66","n/e","n/e","n/e","700","n/e","n/e","2693","42","3","n/e","22","n/e","404"
"Finland (FI)","25.07.2022 04:00 - 25.07.2022 05:00 (CET/CEST)","639","n/e","n/e","164","27","0","n/e","62","n/e","n/e","n/e","774","n/e","n/e","2692","41","3","n/e","22","n/e","541"
"Finland (FI)","25.07.2022 05:00 - 25.07.2022 06:00 (CET/CEST)","635","n/e","n/e","150","27","0","n/e","76","n/e","n/e","n/e","1083","n/e","n/e","2691","37","3","n/e","22","n/e","591"
"Finland (FI)","25.07.2022 06:00 - 25.07.2022 07:00 (CET/CEST)","645","n/e","n/e","172","27","0","n/e","93","n/e","n/e","n/e","1570","n/e","n/e","2691","32","3","n/e","24","n/e","634"
"Finland (FI)","25.07.2022 07:00 - 25.07.2022 08:00 (CET/CEST)","644","n/e","n/e","179","27","0","n/e","89","n/e","n/e","n/e","1873","n/e","n/e","2691","25","3","n/e","23","n/e","473"
"Finland (FI)","25.07.2022 08:00 - 25.07.2022 09:00 (CET/CEST)","644","n/e","n/e","193","27","1","n/e","92","n/e","n/e","n/e","2047","n/e","n/e","2694","22","3","n/e","25","n/e","300"
"Finland (FI)","25.07.2022 09:00 - 25.07.2022 10:00 (CET/CEST)","641","n/e","n/e","192","27","0","n/e","91","n/e","n/e","n/e","1929","n/e","n/e","2692","21","2","n/e","22","n/e","431"
"Finland (FI)","25.07.2022 10:00 - 25.07.2022 11:00 (CET/CEST)","644","n/e","n/e","190","27","0","n/e","91","n/e","n/e","n/e","1849","n/e","n/e","2689","21","2","n/e","22","n/e","692"
"Finland (FI)","25.07.2022 11:00 - 25.07.2022 12:00 (CET/CEST)","644","n/e","n/e","213","27","0","n/e","90","n/e","n/e","n/e","1532","n/e","n/e","2688","21","2","n/e","22","n/e","941"
"Finland (FI)","25.07.2022 12:00 - 25.07.2022 13:00 (CET/CEST)","646","n/e","n/e","200","27","0","n/e","80","n/e","n/e","n/e","1445","n/e","n/e","2687","19","2","n/e","25","n/e","1101"
"Finland (FI)","25.07.2022 13:00 - 25.07.2022 14:00 (CET/CEST)","647","n/e","n/e","173","27","0","n/e","75","n/e","n/e","n/e","1216","n/e","n/e","2681","18","2","n/e","22","n/e","1127"
"Finland (FI)","25.07.2022 14:00 - 25.07.2022 15:00 (CET/CEST)","644","n/e","n/e","189","27","0","n/e","73","n/e","n/e","n/e","1113","n/e","n/e","2674","18","2","n/e","22","n/e","1146"
"Finland (FI)","25.07.2022 15:00 - 25.07.2022 16:00 (CET/CEST)","638","n/e","n/e","179","27","0","n/e","63","n/e","n/e","n/e","1092","n/e","n/e","2669","18","2","n/e","22","n/e","1116"
"Finland (FI)","25.07.2022 16:00 - 25.07.2022 17:00 (CET/CEST)","634","n/e","n/e","178","27","0","n/e","61","n/e","n/e","n/e","1049","n/e","n/e","2668","21","2","n/e","22","n/e","1103"
"Finland (FI)","25.07.2022 17:00 - 25.07.2022 18:00 (CET/CEST)","635","n/e","n/e","188","27","0","n/e","61","n/e","n/e","n/e","1164","n/e","n/e","2672","21","2","n/e","22","n/e","1107"
"Finland (FI)","25.07.2022 18:00 - 25.07.2022 19:00 (CET/CEST)","633","n/e","n/e","169","27","0","n/e","71","n/e","n/e","n/e","1350","n/e","n/e","2680","21","2","n/e","22","n/e","1076"
"Finland (FI)","25.07.2022 19:00 - 25.07.2022 20:00 (CET/CEST)","634","n/e","n/e","172","27","0","n/e","74","n/e","n/e","n/e","1373","n/e","n/e","2680","21","2","n/e","22","n/e","1046"
"Finland (FI)","25.07.2022 20:00 - 25.07.2022 21:00 (CET/CEST)","635","n/e","n/e","173","27","0","n/e","74","n/e","n/e","n/e","1114","n/e","n/e","2680","24","2","n/e","22","n/e","1088"
"Finland (FI)","25.07.2022 21:00 - 25.07.2022 22:00 (CET/CEST)","618","n/e","n/e","181","27","0","n/e","64","n/e","n/e","n/e","1124","n/e","n/e","2681","24","2","n/e","22","n/e","1277"
"Finland (FI)","25.07.2022 22:00 - 25.07.2022 23:00 (CET/CEST)","616","n/e","n/e","189","25","0","n/e","57","n/e","n/e","n/e","843","n/e","n/e","2680","29","2","n/e","22","n/e","1595"
"Finland (FI)","25.07.2022 23:00 - 26.07.2022 00:00 (CET/CEST)","618","n/e","n/e","189","17","0","n/e","52","n/e","n/e","n/e","576","n/e","n/e","2682","30","2","n/e","15","n/e","1737"
